Timestamp	What's your age group?	What's your highest degree?	If applicable, what field of study was your highest degree in?	Did you finish the course?	How many years have you been programming?	How many hours, on average, did you spend per week on the course? [Part 1: weeks 1 & 2 with Prof. Odersky]	How difficult did you find the course? [Part 1: weeks 1 & 2 with Prof. Odersky]	Do you feel the course was worth the time you invested in it?	Would you take a follow-up functional programming in Scala course, if it were offered?	What is your preferred editor, for use outside of this course?	What editor did you end up using for the majority of the course?	What experience do you have with other programming languages or paradigms? [Java]	What experience do you have with other programming languages or paradigms? [C / C++ / Objective-C]	What experience do you have with other programming languages or paradigms? [Python / Ruby / Perl / other scripting language]	What experience do you have with other programming languages or paradigms? [C#/.NET]	What experience do you have with other programming languages or paradigms? [Objective-C]	What experience do you have with other programming languages or paradigms? [JavaScript]	What experience do you have with other programming languages or paradigms? [Haskell / OCaml / ML / F#]	What interested you in the Principles of Reactive Programming course?	Where do you plan to apply what you've learned in this course?	How difficult did you find the homework assignments? [Part 1: weeks 1 & 2 with Prof. Odersky]	What experience do you have with other programming languages or paradigms? [Lisp / Scheme / Clojure]	What country do you live in?	What's your gender?	How difficult did you find the course? [Part 2: weeks 3 & 4 with Prof. Meijer]	How difficult did you find the course? [Part 3: weeks 5-7 with Dr. Kuhn]	How many hours, on average, did you spend per week on the course? [Part 2: weeks 3 & 4 with Prof. Meijer]	How many hours, on average, did you spend per week on the course? [Part 3: weeks 5-7 with Dr. Kuhn]	How difficult did you find the homework assignments? [Part 2: weeks 3 & 4 with Prof. Meijer]	How difficult did you find the homework assignments? [Part 3: weeks 5-7 with Dr. Kuhn]
1/17/2014 9:47:20	25-34	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	3-5 years	6-8 hours	3	5		Eclipse	Eclipse	I'm fluent	I have some experience writing code	I've seen and understand some code	I have some experience writing code		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	4	No experience / not seen it at all	Italy	Male	4	3	8-10 hours	6-8 hours	4	3
1/17/2014 9:47:51	35-44	Some High School (or equivalent)	Computer/Software Engineering	No	20+ years	1-4 hours	3	4		IntelliJ	Eclipse	I'm fluent	I'm fluent	I'm an expert	I have some experience writing code		I'm fluent	No experience / not seen it at all	Helps With Profession	Personal projects	3	No experience / not seen it at all	Spain	Male	3	3	1-4 hours	1-4 hours	3	3
1/17/2014 9:48:31	25-34	Bachelor's Degree (or equivalent)	Computer/Software Engineering	Yes	7-10 years	4-6 hours	4	4		Eclipse	Eclipse	I'm fluent	I've seen and understand some code	I have some experience writing code	No experience / not seen it at all		I'm fluent	No experience / not seen it at all	Personal Interest/Curiosity	Team project at work	4	No experience / not seen it at all	Spain	Male	4	4	1-4 hours	4-6 hours	4	5
1/17/2014 9:49:01	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	15-20 years	4-6 hours	3	5		IntelliJ	IntelliJ	I've seen and understand some code	I'm fluent	I'm fluent	I've seen and understand some code		I've seen and understand some code	I've seen and understand some code	Personal Interest/Curiosity	Individual project at work	3	I've seen and understand some code	Czech Republic	Male	4	3	6-8 hours	4-6 hours	4	3
1/17/2014 9:49:03	25-34	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	5-7 years	8-10 hours	3	5		Eclipse	Eclipse	I'm fluent	I have some experience writing code	I've seen and understand some code	I have some experience writing code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Team project at work	3	No experience / not seen it at all	Russian Federation	Male	4	3	8-10 hours	8-10 hours	4	3
1/17/2014 9:49:10	45-54	Bachelor's Degree (or equivalent)	Computer Science	Yes	20+ years	6-8 hours	4	5		Eclipse	Eclipse	I'm an expert	I have some experience writing code	I have some experience writing code	I've seen and understand some code		I'm fluent	No experience / not seen it at all	Helps With Profession	Team project at work	4	No experience / not seen it at all	United Kingdom	Male	4	4	6-8 hours	6-8 hours	4	4
1/17/2014 9:49:15	35-44	Bachelor's Degree (or equivalent)	Physics	No	10-15 years	10+ hours	3	2		Eclipse	Eclipse	I have some experience writing code	I have some experience writing code	I have some experience writing code	I'm an expert		I'm fluent	I have some experience writing code	Helps With Profession	No application plans, attended for general interest	5	No experience / not seen it at all	United Kingdom	Male	1	1	1-4 hours	1-4 hours	1	1
1/17/2014 9:49:54	35-44	Master's Degree (or equivalent)	Computer Science	No	10-15 years	1-4 hours	3	3		Eclipse	Eclipse	I'm an expert	I have some experience writing code	I've seen and understand some code	I've seen and understand some code		I have some experience writing code	I have some experience writing code	Personal Interest/Curiosity	No application plans, attended for general interest	3	I have some experience writing code	Czech Republic	Male	4	3	4-6 hours	1-4 hours	5	4
1/17/2014 9:51:49	25-34	Master's Degree (or equivalent)	Computer Science	Yes	7-10 years	4-6 hours	2	5		Eclipse	Eclipse	I'm an expert	I've seen and understand some code	I have some experience writing code	I'm fluent		I have some experience writing code	I've seen and understand some code	Helps With Profession	Personal projects	3	I have some experience writing code	Russian Federation	Male	3	3	4-6 hours	6-8 hours	3	4
1/17/2014 9:51:57	35-44	Master's Degree (or equivalent)	Computer/Software Engineering	Yes	10-15 years	6-8 hours	3	4		Eclipse	Eclipse	I'm fluent	I have some experience writing code	I've seen and understand some code	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Personal projects	3	No experience / not seen it at all	Ukraine	Male	3	3	10+ hours	8-10 hours	4	4
